GRC	ENG	Frequency
ἐν	in	3
Διόνυσον	Dionysos	2
οὐχ ὑγιὲς	toxic	1
Ἀγαύην	Agave	1
ὡς	Meanwhile	1
θυοσκόους	prayer	1
ὅσας μὲν	most of them	1
πανδήμοισι στέγαις	in jail	1
ὅσαι δʼ	A few	1
ἄπεισιν	escaped	1
μʼ	my	1
πτώσσουσαν	creeping off	1
τάχα	Soon	1
πρόσπολοι	the police	1
παύσω	put a stop	1
βακχείας	to Bakkhic	1
κακούργου	nonsense	1
τῆσδε	this	1
δʼ	But	1
ἀρσένων	with men	1
δαίμονα	daimon	1
ἑστάναι	There ' s	1
πτόλιν	city	1
χθονός	of the country	1
ἔκδημος	out	1
ὢν	I was	1
δὲ	but	1
κλύω	I kept hearing	1
κακά	of trouble	1
ἀνὰ	in	1
ἐκλελοιπέναι	leaving	1
ξένος	about a stranger	1
δώματʼ	home	1
βακχείαισιν	Bakkhic revels	1
πλασταῖσι	fake	1
ὄρεσι	the mountains	1
δασκίοις	deep	1
ὅστις	whoever	1
ἔστι	that is	1
γυναῖκας	women women	1
λέγουσι	people are talking	1
γόης	A magician	1
τις	certain	1
πατέρα μητρὸς τῆς	grandfather	1
Δίους	Zeus	1
ὅτι	because	1
ἐψεύσατο	she named	1
ἄλλο	another	1
θαῦμα	wonder	1
Τειρεσίαν	Teiresias	1
νεβρίσι	in fawnskins	1
κισσόν	ivy	1
σὺν	along with	1
ἀποτινάξεις	Take off	1
Τειρεσία	Teiresias	1
σὺ	your	1
ταῦτʼ	this	1
μισθοὺς	commissions	1
γῆρας	old	1
γυναιξὶ	Women	1
μητρί	his mother	1
ἐκπυροῦται	he was burnt to bits	1
βότρυος	wine	1
τε	and	1
ἐπῳδὸς	Huckster	1
Λυδίας	Lydian	1
κόμην	hair	1
ὄσσοις	eyes	1
συγγίγνεται	He mingles	1
νεάνισιν	with the young girls	1
κεὐφρόνας	night	1
ἡμέρας	day	1
ἐρράφθαι	was sewn up	1
προτείνων	to show	1
εὐίους	mystic thing	1
φησι	claiming	1
ἐκεῖνος	is	1
εἶναί	is	1
θεόν	god	1
Διός	of Zeus	1
μηρῷ	the thigh	1
Πενθεύς	Pentheus	1
